Order_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Customer_ID,Region,Category,Sub_Category,Quantity,Discount,Sales,Profit,Year,Month,Quarter,Days_to_Ship,Profit_Margin
ORD-1031,2023-10-10,2023-10-11,Second Class,Consumer,CUST-0048,West,Technology,Computers,10.0,0.0,296.14,57.46,2023,10,4,1,19.4
ORD-1032,2022-12-05,2022-12-12,Same Day,Corporate,CUST-0179,West,Technology,Phones,5.0,0.0,80.39,23.69,2022,12,4,7,29.47
ORD-1033,2023-12-29,2024-01-05,Second Class,Consumer,CUST-0101,West,Office Supplies,Paper,1.0,0.0,13.84,5.49,2023,12,4,7,39.67
ORD-1034,2023-03-13,2023-03-17,Standard Class,Corporate,CUST-0004,East,Furniture,Tables,10.0,0.3,265.85,19.72,2023,3,1,4,7.42
ORD-1035,2023-06-15,2023-06-18,Standard Class,Home Office,CUST-0189,Central,Furniture,Furnishings,4.0,0.0,34.1,12.54,2023,6,2,3,36.77
ORD-1036,2023-12-03,2023-12-07,Second Class,Consumer,CUST-0090,South,Furniture,Chairs,13.0,0.0,271.76,,2023,12,4,4,
ORD-1037,2023-04-06,2023-04-11,Standard Class,Consumer,CUST-0164,West,Technology,Accessories,2.0,0.1,91.59,13.44,2023,4,2,5,14.67
ORD-1038,2023-09-05,2023-09-06,Same Day,Corporate,CUST-0113,South,Technology,Phones,7.0,0.0,307.67,56.53,2023,9,3,1,18.37
ORD-1039,2021-03-03,2021-03-07,Same Day,Consumer,CUST-0189,Central,Office Supplies,Paper,9.0,0.0,44.37,6.44,2021,3,1,4,14.51
ORD-1040,2022-12-19,2022-12-26,First Class,Consumer,CUST-0140,West,Office Supplies,Art,,0.0,31.18,10.94,2022,12,4,7,35.09
ORD-1041,2022-07-23,2022-07-30,First Class,Corporate,CUST-0076,West,Technology,Accessories,13.0,0.1,450.62,66.96,2022,7,3,7,14.86
ORD-1042,2021-06-19,2021-06-20,Standard Class,Home Office,CUST-0065,South,Office Supplies,Binders,2.0,0.0,12.2,2.59,2021,6,2,1,21.23
ORD-1043,2023-12-30,2024-01-03,Second Class,Home Office,CUST-0019,Central,Office Supplies,Paper,3.0,0.0,20.12,11.0,2023,12,4,4,54.67
ORD-1044,2023-12-18,2023-12-22,First Class,Consumer,CUST-0092,West,Technology,Accessories,12.0,0.1,463.25,62.9,2023,12,4,4,13.58
ORD-1045,2023-07-18,2023-07-24,Standard Class,Consumer,CUST-0164,West,Office Supplies,Art,5.0,0.5,25.42,3.14,2023,7,3,6,12.35
ORD-1046,2022-10-18,2022-10-25,Standard Class,Corporate,CUST-0008,West,Furniture,Furnishings,9.0,0.0,222.1,36.97,2022,10,4,7,16.65
ORD-1047,2022-06-24,2022-06-28,Same Day,Consumer,CUST-0157,East,Technology,Copiers,5.0,0.0,180.51,41.87,2022,6,2,4,23.2
ORD-1048,2023-06-02,2023-06-07,Standard Class,Home Office,CUST-0005,West,Technology,Accessories,9.0,0.3,355.63,10.01,2023,6,2,5,2.81
ORD-1049,2021-08-12,2021-08-19,First Class,Corporate,CUST-0027,East,Technology,Phones,1.0,0.0,56.47,6.78,2021,8,3,7,12.01
ORD-1050,2022-05-26,2022-05-27,Standard Class,Consumer,CUST-0083,East,Furniture,Chairs,5.0,0.2,135.26,11.06,2022,5,2,1,8.18
ORD-1051,2021-02-20,2021-02-25,Second Class,Consumer,CUST-0092,West,Technology,Computers,13.0,0.2,451.98,34.87,2021,2,1,5,7.71
ORD-1052,2022-03-14,2022-03-20,Standard Class,Consumer,CUST-0057,East,Technology,Accessories,3.0,0.0,142.45,25.98,2022,3,1,6,18.24
ORD-1053,2023-05-03,2023-05-09,Second Class,Consumer,CUST-0030,Central,Furniture,Bookcases,2.0,0.0,64.06,11.78,2023,5,2,6,18.39
ORD-1054,2021-09-06,2021-09-12,First Class,Corporate,CUST-0081,Central,Furniture,Bookcases,1.0,0.0,30.13,12.1,2021,9,3,6,40.16
ORD-1055,2023-02-24,2023-02-28,Standard Class,Home Office,CUST-0126,East,Office Supplies,Art,4.0,0.0,23.84,4.13,2023,2,1,4,17.32
ORD-1056,2023-01-31,2023-02-07,Same Day,Consumer,CUST-0104,Central,Furniture,Furnishings,,0.1,61.51,15.5,2023,1,1,7,25.2
ORD-1057,2022-10-29,2022-11-03,Second Class,Home Office,CUST-0092,Central,Office Supplies,Paper,2.0,0.2,12.72,3.54,2022,10,4,5,27.83
ORD-1058,2022-10-07,2022-10-08,Standard Class,Corporate,CUST-0155,West,Technology,Computers,12.0,0.0,290.27,46.26,2022,10,4,1,15.94
ORD-1059,2021-08-27,2021-09-02,Standard Class,Corporate,CUST-0180,Central,Technology,Phones,,0.1,452.38,55.71,2021,8,3,6,12.31
ORD-1060,2022-04-19,2022-04-23,First Class,Consumer,CUST-0056,South,Technology,Accessories,7.0,0.0,369.58,67.79,2022,4,2,4,18.34
ORD-1061,2021-12-29,2022-01-05,First Class,Home Office,CUST-0192,Central,Technology,Accessories,12.0,0.0,351.58,58.51,2021,12,4,7,16.64
ORD-1062,2021-03-27,2021-03-29,Standard Class,Consumer,CUST-0146,South,Technology,Phones,14.0,0.2,713.44,61.48,2021,3,1,2,8.62
ORD-1063,2023-01-18,2023-01-21,Second Class,Corporate,CUST-0187,East,Technology,Accessories,10.0,0.0,204.93,29.97,2023,1,1,3,14.62
ORD-1064,2022-10-24,2022-10-29,Second Class,Corporate,CUST-0062,East,Furniture,Chairs,6.0,0.3,147.63,-6.96,2022,10,4,5,-4.71
ORD-1065,2022-06-27,2022-07-02,Second Class,Consumer,CUST-0113,Central,Office Supplies,Paper,4.0,0.0,25.83,5.38,2022,6,2,5,20.83
ORD-1066,2021-07-13,2021-07-20,Second Class,Home Office,CUST-0154,Central,Furniture,Tables,11.0,0.2,101.37,10.83,2021,7,3,7,10.68
ORD-1067,2021-04-23,2021-04-27,First Class,Consumer,CUST-0100,South,Technology,Accessories,1.0,0.0,21.71,7.9,2021,4,2,4,36.39
ORD-1068,2021-01-10,2021-01-15,Same Day,Consumer,CUST-0065,West,Technology,Accessories,7.0,0.1,102.38,14.46,2021,1,1,5,14.12
ORD-1069,2023-06-30,2023-07-06,Same Day,Consumer,CUST-0178,West,Technology,Phones,7.0,0.3,202.09,6.86,2023,6,2,6,3.39
ORD-1070,2022-08-11,2022-08-14,Standard Class,Home Office,CUST-0072,Central,Technology,Copiers,3.0,0.0,106.61,20.96,2022,8,3,3,19.66
ORD-1071,2022-12-26,2022-12-31,Standard Class,Corporate,CUST-0042,East,Office Supplies,Labels,5.0,0.3,28.92,-5.59,2022,12,4,5,-19.33
ORD-1072,2023-03-11,2023-03-14,Standard Class,Consumer,CUST-0145,South,Furniture,Furnishings,13.0,0.0,471.71,80.69,2023,3,1,3,17.11
ORD-1073,2021-04-14,2021-04-17,First Class,Consumer,CUST-0111,East,Office Supplies,Binders,7.0,0.0,18.58,9.06,2021,4,2,3,48.76
ORD-1074,2022-02-24,2022-03-01,Standard Class,Home Office,CUST-0196,East,Furniture,Furnishings,6.0,0.2,209.69,21.82,2022,2,1,5,10.41
ORD-1075,2023-05-15,2023-05-21,Same Day,Home Office,CUST-0184,West,Furniture,Tables,6.0,0.0,25.31,7.93,2023,5,2,6,31.33
ORD-1076,2021-11-20,2021-11-24,Same Day,Consumer,CUST-0026,West,Furniture,Furnishings,13.0,0.1,448.05,65.02,2021,11,4,4,14.51
ORD-1077,2023-05-22,2023-05-28,Same Day,Consumer,CUST-0141,South,Technology,Phones,6.0,0.4,125.86,-14.14,2023,5,2,6,-11.23
ORD-1078,2023-04-08,2023-04-11,Standard Class,Consumer,CUST-0051,West,Technology,Computers,12.0,0.0,543.52,101.2,2023,4,2,3,18.62
ORD-1079,2023-03-25,2023-03-30,Standard Class,Home Office,CUST-0063,East,Office Supplies,Paper,5.0,0.2,22.59,-0.34,2023,3,1,5,-1.51
ORD-1080,2023-08-27,2023-09-01,First Class,Corporate,CUST-0063,South,Technology,Accessories,9.0,0.0,346.55,59.23,2023,8,3,5,17.09
ORD-1081,2022-04-20,2022-04-22,First Class,Home Office,CUST-0182,Central,Furniture,Tables,11.0,0.0,119.7,20.24,2022,4,2,2,16.91
ORD-1082,2021-06-26,2021-07-01,Standard Class,Consumer,CUST-0148,South,Technology,Accessories,11.0,0.4,205.73,-1.53,2021,6,2,5,-0.74
ORD-1083,2022-07-15,2022-07-22,Same Day,Home Office,CUST-0062,Central,Furniture,Furnishings,1.0,0.0,26.29,-3.33,2022,7,3,7,-12.67
ORD-1084,2021-10-13,2021-10-16,Second Class,Consumer,CUST-0113,West,Technology,Phones,2.0,0.0,94.96,12.09,2021,10,4,3,12.73
ORD-1085,2023-07-14,2023-07-21,Second Class,Consumer,CUST-0124,Central,Furniture,Tables,7.0,0.3,126.99,8.42,2023,7,3,7,6.63
ORD-1086,2023-10-29,2023-10-30,Standard Class,Corporate,CUST-0072,South,Office Supplies,Art,9.0,0.1,29.39,0.18,2023,10,4,1,0.61
ORD-1087,2023-10-04,2023-10-06,First Class,Consumer,CUST-0144,West,Technology,Accessories,3.0,0.3,129.3,-0.82,2023,10,4,2,-0.63
ORD-1088,2023-01-05,2023-01-12,Second Class,Consumer,CUST-0129,East,Furniture,Chairs,2.0,0.0,66.52,,2023,1,1,7,
ORD-1089,2022-12-08,2022-12-15,Second Class,Consumer,CUST-0137,Central,Office Supplies,Art,7.0,0.0,37.35,-0.34,2022,12,4,7,-0.91
ORD-1090,2023-05-04,2023-05-08,First Class,Home Office,CUST-0128,Central,Furniture,Furnishings,8.0,0.5,223.31,-20.51,2023,5,2,4,-9.18
ORD-1091,2022-06-05,2022-06-07,Second Class,Consumer,CUST-0004,Central,Technology,Computers,13.0,0.0,188.1,31.51,2022,6,2,2,16.75
ORD-1092,2023-03-16,2023-03-19,Standard Class,Corporate,CUST-0122,West,Technology,Phones,6.0,0.0,72.67,15.84,2023,3,1,3,21.8
ORD-1093,2021-01-27,2021-01-28,Standard Class,Consumer,CUST-0199,East,Office Supplies,Labels,6.0,0.0,21.47,8.09,2021,1,1,1,37.68
ORD-1094,2022-12-03,2022-12-05,Second Class,Consumer,CUST-0029,East,Furniture,Chairs,14.0,0.0,311.28,57.02,2022,12,4,2,18.32
ORD-1095,2021-07-06,2021-07-13,Second Class,Consumer,CUST-0150,Central,Furniture,Furnishings,,0.1,134.05,30.59,2021,7,3,7,22.82
ORD-1096,2023-08-16,2023-08-19,Standard Class,Consumer,CUST-0040,East,Office Supplies,Paper,13.0,0.0,54.84,4.63,2023,8,3,3,8.44
ORD-1097,2021-02-11,2021-02-12,Standard Class,Corporate,CUST-0074,West,Office Supplies,Paper,7.0,0.4,39.28,-3.76,2021,2,1,1,-9.57
ORD-1098,2021-08-04,2021-08-07,Same Day,Consumer,CUST-0198,Central,Office Supplies,Paper,8.0,0.1,46.33,9.47,2021,8,3,3,20.44
ORD-1099,2022-05-04,2022-05-09,Standard Class,Corporate,CUST-0007,West,Office Supplies,Binders,10.0,0.0,49.82,9.64,2022,5,2,5,19.35
ORD-1100,2022-12-28,2023-01-02,Second Class,Home Office,CUST-0159,South,Technology,Copiers,2.0,0.0,102.56,4.9,2022,12,4,5,4.78
ORD-1101,2021-05-11,2021-05-16,First Class,Consumer,CUST-0120,South,Furniture,Furnishings,11.0,0.0,423.13,71.69,2021,5,2,5,16.94
ORD-1102,2022-12-23,2022-12-24,Second Class,Consumer,CUST-0034,East,Furniture,Chairs,13.0,0.0,159.57,31.65,2022,12,4,1,19.83
ORD-1103,2023-11-29,2023-12-05,Same Day,Corporate,CUST-0121,West,Technology,Accessories,4.0,0.0,128.83,20.41,2023,11,4,6,15.84
ORD-1104,2022-01-24,2022-01-25,Second Class,Consumer,CUST-0068,Central,Office Supplies,Paper,14.0,0.0,51.85,8.66,2022,1,1,1,16.7
ORD-1105,2023-08-07,2023-08-13,First Class,Consumer,CUST-0037,West,Office Supplies,Labels,9.0,0.0,34.35,1.77,2023,8,3,6,5.15
ORD-1106,2021-01-11,2021-01-17,Second Class,Consumer,CUST-0117,South,Office Supplies,Storage,13.0,0.2,46.67,0.44,2021,1,1,6,0.94
ORD-1107,2023-04-05,2023-04-07,Standard Class,Consumer,CUST-0054,East,Office Supplies,Fasteners,9.0,0.0,43.0,4.63,2023,4,2,2,10.77
ORD-1108,2022-02-23,2022-02-25,Second Class,Home Office,CUST-0013,West,Office Supplies,Paper,2.0,0.2,14.0,3.48,2022,2,1,2,24.86
ORD-1109,2023-08-10,2023-08-13,First Class,Corporate,CUST-0124,West,Technology,Accessories,11.0,0.0,411.74,79.53,2023,8,3,3,19.32
ORD-1110,2023-07-03,2023-07-09,Standard Class,Corporate,CUST-0114,Central,Furniture,Furnishings,5.0,0.0,169.74,25.25,2023,7,3,6,14.88
ORD-1111,2022-11-29,2022-12-02,Standard Class,Corporate,CUST-0006,East,Furniture,Furnishings,8.0,0.3,253.57,17.69,2022,11,4,3,6.98
ORD-1112,2022-07-25,2022-07-28,Same Day,Consumer,CUST-0191,South,Furniture,Furnishings,9.0,0.4,129.8,-6.31,2022,7,3,3,-4.86
ORD-1113,2022-07-11,2022-07-13,First Class,Home Office,CUST-0082,Central,Office Supplies,Art,9.0,0.1,33.0,0.12,2022,7,3,2,0.36
ORD-1114,2021-10-22,2021-10-24,First Class,Consumer,CUST-0098,West,Office Supplies,Fasteners,13.0,0.0,51.98,9.59,2021,10,4,2,18.45
ORD-1115,2022-04-12,2022-04-18,Same Day,Corporate,CUST-0079,West,Furniture,Furnishings,7.0,0.0,222.66,40.32,2022,4,2,6,18.11
ORD-1116,2022-04-29,2022-05-01,Second Class,Home Office,CUST-0118,East,Office Supplies,Labels,4.0,0.0,27.15,-0.25,2022,4,2,2,-0.92
ORD-1117,2021-11-02,2021-11-08,Same Day,Consumer,CUST-0007,South,Technology,Computers,13.0,0.0,715.18,125.03,2021,11,4,6,17.48
ORD-1118,2023-08-05,2023-08-08,Standard Class,Consumer,CUST-0039,East,Technology,Phones,,0.0,391.4,70.21,2023,8,3,3,17.94
ORD-1119,2023-09-01,2023-09-05,Same Day,Consumer,CUST-0006,West,Furniture,Chairs,6.0,0.3,185.85,6.79,2023,9,3,4,3.65
ORD-1120,2022-07-24,2022-07-28,Standard Class,Consumer,CUST-0024,Central,Office Supplies,Labels,6.0,0.0,22.88,0.77,2022,7,3,4,3.37
ORD-1121,2023-12-20,2023-12-26,Second Class,Consumer,CUST-0050,South,Furniture,Bookcases,9.0,0.2,265.85,23.55,2023,12,4,6,8.86
ORD-1122,2022-11-24,2022-11-28,Second Class,Consumer,CUST-0199,West,Office Supplies,Storage,10.0,0.0,54.99,12.36,2022,11,4,4,22.48
ORD-1123,2023-10-14,2023-10-18,First Class,Consumer,CUST-0064,South,Technology,Copiers,6.0,0.2,75.42,,2023,10,4,4,
ORD-1124,2021-12-04,2021-12-10,Second Class,Consumer,CUST-0169,West,Furniture,Furnishings,6.0,0.3,221.41,1.17,2021,12,4,6,0.53
ORD-1125,2022-02-05,2022-02-09,Same Day,Consumer,CUST-0148,Central,Technology,Computers,9.0,0.0,245.08,44.35,2022,2,1,4,18.1
ORD-1126,2021-01-02,2021-01-03,Second Class,Home Office,CUST-0103,South,Technology,Copiers,1.0,0.0,,11.56,2021,1,1,1,
ORD-1127,2021-04-16,2021-04-23,Second Class,Home Office,CUST-0009,East,Technology,Computers,12.0,0.1,409.67,49.26,2021,4,2,7,12.02
ORD-1128,2021-04-21,2021-04-24,Second Class,Home Office,CUST-0154,East,Office Supplies,Paper,7.0,0.0,36.47,16.45,2021,4,2,3,45.11
ORD-1129,2021-01-14,2021-01-17,First Class,Consumer,CUST-0032,West,Furniture,Bookcases,2.0,0.2,39.37,0.5,2021,1,1,3,1.27
ORD-1130,2022-10-24,2022-10-29,First Class,Corporate,CUST-0189,East,Furniture,Tables,8.0,0.0,213.04,38.95,2022,10,4,5,18.28
ORD-1131,2023-05-12,2023-05-17,Same Day,Consumer,CUST-0126,Central,Technology,Accessories,10.0,0.0,252.02,53.23,2023,5,2,5,21.12
ORD-1132,2022-02-24,2022-02-26,Same Day,Consumer,CUST-0006,West,Office Supplies,Binders,5.0,0.0,34.41,-1.52,2022,2,1,2,-4.42
ORD-1133,2022-09-29,2022-10-03,First Class,Consumer,CUST-0026,Central,Office Supplies,Storage,3.0,0.1,24.32,10.06,2022,9,3,4,41.37
ORD-1134,2022-06-10,2022-06-16,Second Class,Corporate,CUST-0060,Central,Office Supplies,Fasteners,2.0,0.0,16.78,1.56,2022,6,2,6,9.3
ORD-1135,2021-05-10,2021-05-17,First Class,Corporate,CUST-0005,South,Furniture,Tables,6.0,0.0,80.5,19.86,2021,5,2,7,24.67
ORD-1136,2021-10-28,2021-11-04,Standard Class,Consumer,CUST-0010,South,Technology,Copiers,11.0,0.0,320.14,62.6,2021,10,4,7,19.55
ORD-1137,2023-08-30,2023-08-31,Standard Class,Consumer,CUST-0175,West,Office Supplies,Paper,9.0,0.0,33.23,4.24,2023,8,3,1,12.76
ORD-1138,2021-06-05,2021-06-12,Second Class,Home Office,CUST-0037,West,Office Supplies,Labels,6.0,0.0,26.13,3.72,2021,6,2,7,14.24
ORD-1139,2021-07-17,2021-07-22,Second Class,Consumer,CUST-0043,West,Office Supplies,Labels,,0.0,35.29,10.21,2021,7,3,5,28.93
ORD-1140,2023-11-29,2023-12-06,Same Day,Home Office,CUST-0151,East,Technology,Phones,8.0,0.1,48.31,20.97,2023,11,4,7,43.41
ORD-1141,2023-01-16,2023-01-20,Standard Class,Corporate,CUST-0096,South,Technology,Phones,7.0,0.1,186.87,22.16,2023,1,1,4,11.86
ORD-1142,2021-11-07,2021-11-14,Second Class,Consumer,CUST-0136,East,Technology,Accessories,10.0,0.0,297.66,53.44,2021,11,4,7,17.95
ORD-1143,2021-12-11,2021-12-17,Standard Class,Consumer,CUST-0048,South,Office Supplies,Paper,4.0,0.1,16.83,5.53,2021,12,4,6,32.86
ORD-1144,2023-10-07,2023-10-13,First Class,Corporate,CUST-0068,East,Office Supplies,Binders,9.0,0.0,33.39,7.04,2023,10,4,6,21.08
ORD-1145,2021-01-19,2021-01-25,First Class,Home Office,CUST-0129,East,Office Supplies,Fasteners,2.0,0.0,17.73,6.37,2021,1,1,6,35.93
ORD-1146,2023-12-25,2023-12-29,Standard Class,Consumer,CUST-0161,Central,Technology,Computers,10.0,0.0,501.34,86.01,2023,12,4,4,17.16
ORD-1147,2023-05-17,2023-05-23,Second Class,Consumer,CUST-0072,Central,Technology,Phones,14.0,0.0,314.39,67.85,2023,5,2,6,21.58
ORD-1148,2022-10-27,2022-10-31,First Class,Consumer,CUST-0043,South,Furniture,Tables,5.0,0.0,207.27,28.19,2022,10,4,4,13.6
ORD-1149,2023-06-10,2023-06-13,Standard Class,Corporate,CUST-0124,East,Office Supplies,Fasteners,13.0,0.3,44.78,,2023,6,2,3,
ORD-1150,2021-11-20,2021-11-25,Same Day,Consumer,CUST-0117,Central,Office Supplies,Art,13.0,0.0,37.24,5.3,2021,11,4,5,14.23
ORD-1151,2021-10-18,2021-10-20,Second Class,Corporate,CUST-0089,West,Technology,Accessories,4.0,0.5,95.59,1.1,2021,10,4,2,1.15
ORD-1152,2023-11-29,2023-12-04,Same Day,Home Office,CUST-0036,Central,Furniture,Bookcases,7.0,0.0,251.43,41.95,2023,11,4,5,16.68
ORD-1153,2022-07-13,2022-07-16,Standard Class,Corporate,CUST-0026,Central,Furniture,Tables,13.0,0.3,491.8,16.67,2022,7,3,3,3.39
ORD-1154,2022-11-13,2022-11-14,Same Day,Consumer,CUST-0060,South,Technology,Computers,10.0,0.1,207.13,21.64,2022,11,4,1,10.45
ORD-1155,2023-09-20,2023-09-27,Standard Class,Corporate,CUST-0119,East,Office Supplies,Paper,2.0,0.3,14.93,-2.48,2023,9,3,7,-16.61
ORD-1156,2022-02-23,2022-02-27,Standard Class,Consumer,CUST-0185,South,Furniture,Tables,7.0,0.0,77.41,15.27,2022,2,1,4,19.73
ORD-1157,2022-09-29,2022-10-06,Second Class,Consumer,CUST-0036,South,Furniture,Tables,9.0,0.0,286.21,59.66,2022,9,3,7,20.84
ORD-1158,2022-10-10,2022-10-11,Same Day,Consumer,CUST-0130,South,Technology,Phones,11.0,0.0,493.37,81.05,2022,10,4,1,16.43
ORD-1159,2023-02-15,2023-02-21,First Class,Corporate,CUST-0086,Central,Office Supplies,Art,8.0,0.0,38.44,17.51,2023,2,1,6,45.55
ORD-1160,2021-12-20,2021-12-27,Standard Class,Consumer,CUST-0077,East,Office Supplies,Art,14.0,0.0,66.59,3.01,2021,12,4,7,4.52
ORD-1161,2022-09-10,2022-09-16,Same Day,Consumer,CUST-0136,West,Furniture,Bookcases,14.0,0.0,581.69,103.17,2022,9,3,6,17.74
ORD-1162,2022-09-19,2022-09-25,Second Class,Consumer,CUST-0149,West,Office Supplies,Fasteners,5.0,0.0,30.19,9.25,2022,9,3,6,30.64
ORD-1163,2023-03-11,2023-03-12,Second Class,Corporate,CUST-0036,East,Technology,Computers,5.0,0.1,190.22,27.64,2023,3,1,1,14.53
ORD-1164,2021-12-07,2021-12-09,Second Class,Consumer,CUST-0151,West,Technology,Computers,11.0,0.2,347.92,19.78,2021,12,4,2,5.69
ORD-1165,2022-02-10,2022-02-13,Standard Class,Consumer,CUST-0042,Central,Office Supplies,Binders,6.0,0.0,,8.55,2022,2,1,3,
ORD-1166,2021-05-14,2021-05-17,Second Class,Corporate,CUST-0091,Central,Furniture,Chairs,7.0,0.0,149.5,25.73,2021,5,2,3,17.21
ORD-1167,2021-09-23,2021-09-24,Second Class,Home Office,CUST-0125,East,Office Supplies,Binders,2.0,0.0,15.94,6.96,2021,9,3,1,43.66
ORD-1168,2022-04-27,2022-05-02,Same Day,Home Office,CUST-0032,West,Technology,Accessories,2.0,0.0,32.05,5.95,2022,4,2,5,18.56
ORD-1169,2023-09-16,2023-09-20,Standard Class,Home Office,CUST-0162,West,Technology,Copiers,6.0,0.0,70.74,19.02,2023,9,3,4,26.89
ORD-1170,2023-12-16,2023-12-23,Same Day,Home Office,CUST-0190,East,Furniture,Tables,9.0,0.0,124.23,21.06,2023,12,4,7,16.95
ORD-1171,2022-09-01,2022-09-05,Same Day,Corporate,CUST-0166,South,Technology,Accessories,4.0,0.0,56.35,14.71,2022,9,3,4,26.1
ORD-1172,2023-02-07,2023-02-12,Standard Class,Home Office,CUST-0086,West,Furniture,Bookcases,3.0,0.2,49.9,-5.02,2023,2,1,5,-10.06
ORD-1173,2021-09-03,2021-09-09,Standard Class,Consumer,CUST-0013,East,Office Supplies,Binders,5.0,0.0,21.72,5.87,2021,9,3,6,27.03
